"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="3177772633623956920",="3177772633622956920","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","交易成功","null",="2023020122001196381430248873","109.00","109.00","没有申请退款","无退款申请","2023-02-01 23:06:54","2023-02-01 23:07:02"
="3177772633624956920",="3177772633622956920","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2023020122001196381430248873","0.00","0.00","没有申请退款","无退款申请","2023-02-01 23:06:54","2023-02-01 23:07:02"
="3177015912043311763",="3177015912042311763","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","交易关闭","8809754820689",="2023020122001112351417694744","239.00","239.00","退款成功","239.00","2023-02-01 23:01:25","2023-02-01 23:01:29"
="3177015912044311763",="3177015912042311763","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易关闭","null",="2023020122001112351417694744","0.00","0.00","退款成功","0.00","2023-02-01 23:01:25","2023-02-01 23:01:29"
="3177015912045311763",="3177015912042311763","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易关闭","8809754820856",="2023020122001112351417694744","0.00","0.00","退款成功","0.00","2023-02-01 23:01:25","2023-02-01 23:01:29"
="3177015912046311763",="3177015912042311763","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易关闭","8809754820887",="2023020122001112351417694744","0.00","0.00","退款成功","0.00","2023-02-01 23:01:25","2023-02-01 23:01:29"
="3177015912047311763",="3177015912042311763","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易关闭","8809754820863",="2023020122001112351417694744","0.00","0.00","退款成功","0.00","2023-02-01 23:01:25","2023-02-01 23:01:29"
="3176821836744648139",="3176821836743648139","SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个","209.00","1","8809754820085","null","null","null","交易成功","8809754820085",="2023020122001142071416829609","168.10","168.10","没有申请退款","无退款申请","2023-02-01 21:02:00","2023-02-01 21:02:11"
="3176821836745648139",="3176821836743648139","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2023020122001142071416829609","0.00","0.00","没有申请退款","无退款申请","2023-02-01 21:02:00","2023-02-01 21:02:11"
="3177652970558970057",="3177652970557970057","SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml","249.00","1","8809525247455","null","null","null","交易成功","8809525247455",="2023020122001150371444965361","180.37","180.37","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970559970057",="3177652970557970057","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","交易成功","8809754820689",="2023020122001150371444965361","200.42","200.42","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970560970057",="3177652970557970057","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","4","null","null","null","null","交易成功","null",="2023020122001150371444965361","0.00","0.00","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970561970057",="3177652970557970057","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","2","8809754820856","null","null","null","交易成功","8809754820856",="2023020122001150371444965361","0.00","0.00","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970562970057",="3177652970557970057","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","2","8809754820887","null","null","null","交易成功","8809754820887",="2023020122001150371444965361","0.00","0.00","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970563970057",="3177652970557970057","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2023020122001150371444965361","0.00","0.00","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
="3177652970564970057",="3177652970557970057","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","2","8809754820863","null","null","null","交易成功","8809754820863",="2023020122001150371444965361","0.00","0.00","没有申请退款","无退款申请","2023-02-01 19:10:57","2023-02-01 19:11:04"
